Permalink,Creator,Object title,Type,Format,Licence,Date (From),Date (To),Date (Appendix),Image number,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Image 14,Image 15,Image 16,Image 17,Image 18,Image 19 
 https://gams.uni-graz.at/o:vase.1030 ," Stojanović/Karastoyanov, Anastas Nikolov ", Young lady in a dark dress ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1870,1875,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1030/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1030/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1031 ," Stojanović/Karastoyanov, Anastas Nikolov ", General Ranko Alimpić ,Photograph,Carte de visite,Creative Commons [CC BY-NC-ND 3.0],1875,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1031/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1031/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1032 ," Karastoyanov, Ivan Anastasov ", Prince Alexandr Mikhailovich Dondukov-Korsakov ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1880,1890,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1032/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1032/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1033 ," Stojanović/Karastoyanov, Anastas Nikolov or  Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov "," Alexander Joseph, Prince of Bulgaria ",Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1878,1880,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1033/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1033/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1034 ," Karastoyanov, Ivan Anastasov ", Vignetted head and shoulder shot of a man ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1900,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1034/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1034/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1035 ," Karastoyanov, Dimitar Anastasov ", Portrait of two small children in white tunics ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1909,,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1035/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1035/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1036 ," Karastoyanov, Ivan Anastasov or  Karastoyanov, Dimitar Anastasov ", Woman in dark high-necked dress ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1880,1886,  ,2, https://gams.uni-graz.at/archive/objects/o:vase.1036/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1036/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1037 ," Karastoyanov, Dimitar Anastasov ", Group portrait of a woman and two young children ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1910,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1037/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1037/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1038 ," Karastoyanov, Dimitar Anastasov ", Two young children in white tunics ,Photograph,Boudoir,Creative Commons [CC BY-NC-ND 3.0],1910,, after ,2, https://gams.uni-graz.at/archive/objects/o:vase.1038/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1038/datastreams/IMAGE.2/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
 https://gams.uni-graz.at/o:vase.1039 ," Jovanović, Milan ", Wedding photograph ,Photograph,Cabinet,Creative Commons [CC BY-NC-ND 3.0],1896,,  ,4, https://gams.uni-graz.at/archive/objects/o:vase.1039/datastreams/IMAGE.1/content , https://gams.uni-graz.at/archive/objects/o:vase.1039/datastreams/IMAGE.2/content , https://gams.uni-graz.at/archive/objects/o:vase.1039/datastreams/IMAGE.3/content , https://gams.uni-graz.at/archive/objects/o:vase.1039/datastreams/IMAGE.4/content ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,   
